Time(microseconds),DLS Value,Temperature(C)
0,600,25.0
8,600,25.0
17,600,25.0
26,600,25.0
35,600,25.0
44,600,25.0
53,600,25.0
61,600,25.0
70,600,25.0
79,600,25.0
88,600,25.0
97,600,25.0
106,600,25.0
114,600,25.0
123,600,25.0
132,600,25.0
141,600,25.0
150,600,25.0
159,600,25.0
167,600,25.0
176,600,25.0
185,600,25.0
194,600,25.0
203,600,25.0
212,600,25.0
220,600,25.0
229,600,25.0
238,600,25.0
247,600,25.0
256,600,25.0
265,600,25.0
273,600,25.0
282,600,25.0
291,600,25.0
300,600,25.0
309,600,25.0
318,600,25.0
326,600,25.0
335,600,25.0
344,600,25.0
353,600,25.0
362,600,25.0
371,600,25.0
380,600,25.0
388,600,25.0
397,600,25.0
406,600,25.0
415,600,25.0
424,600,25.0
433,600,25.0
441,600,25.0
450,600,25.0
459,600,25.0
468,600,25.0
477,600,25.0
486,600,25.0
494,600,25.0
503,600,25.0
512,600,25.0
521,600,25.0
530,600,25.0
539,600,25.0
547,600,25.0
556,600,25.0
565,600,25.0
574,600,25.0
583,600,25.0
592,600,25.0
600,600,25.0
609,600,25.0
618,600,25.0
627,600,25.0
636,600,25.0
645,600,25.0
653,600,25.0
662,600,25.0
671,600,25.0
680,600,25.0
689,600,25.0
698,600,25.0
707,600,25.0
715,600,25.0
724,600,25.0
733,600,25.0
742,600,25.0
751,600,25.0
760,600,25.0
768,608,25.0
777,615,25.0
786,632,25.0
795,638,25.0
804,655,25.0
813,668,25.0
821,684,25.0
830,700,25.0
839,696,25.0
848,688,25.0
857,684,25.0
866,679,25.0
874,679,25.0
883,675,25.0
892,675,25.0
901,671,25.0
910,671,25.0
919,671,25.0
927,671,25.0
936,668,25.0
945,664,25.0
954,664,25.0
963,664,25.0
972,662,25.0
980,664,25.0
989,664,25.0
998,660,25.0
1007,659,25.0
1016,655,25.0
1025,655,25.0
1033,657,25.0
1042,657,25.0
1051,655,25.0
1060,655,25.0
1069,655,25.0
1078,652,25.0
1087,652,25.0
1095,652,25.0
1104,652,25.0
1113,649,25.0
1122,647,25.0
1131,647,25.0
1140,647,25.0
1148,647,25.0
1157,647,25.0
1166,647,25.0
1175,646,25.0
1184,647,25.0
1193,639,25.0
1201,643,25.0
1210,639,25.0
1219,639,25.0
1228,639,25.0
1237,639,25.0
1246,639,25.0
1254,639,25.0
1263,638,25.0
1272,636,25.0
1281,636,25.0
1290,636,25.0
1299,636,25.0
1307,633,25.0
1316,636,25.0
1325,636,25.0
1334,633,25.0
1343,632,25.0
1352,632,25.0
1360,632,25.0
1369,633,25.0
1378,633,25.0
1387,632,25.0
1396,632,25.0
1405,632,25.0
1414,632,25.0
1422,632,25.0
1431,630,25.0
1440,627,25.0
1449,632,25.0
1458,632,25.0
1467,627,25.0
1475,627,25.0
1484,624,25.0
1493,627,25.0
1502,624,25.0
1511,624,25.0
1520,625,25.0
1528,624,25.0
1537,624,25.0
1546,624,25.0
1555,624,25.0
1564,624,25.0
1573,624,25.0
1581,624,25.0
1590,622,25.0
1599,624,25.0
1608,624,25.0
1617,624,25.0
1626,624,25.0
1634,624,25.0
1643,624,25.0
1652,624,25.0
1661,623,25.0
1670,620,25.0
1679,620,25.0
1687,617,25.0
1696,620,25.0
1705,620,25.0
1714,622,25.0
1723,620,25.0
1732,620,25.0
1740,620,25.0
1749,620,25.0
1758,622,25.0
1767,620,25.0
1776,620,25.0
1785,620,25.0
1794,620,25.0
1802,617,25.0
1811,619,25.0
1820,617,25.0
1829,620,25.0
1838,620,25.0
1847,620,25.0
1855,620,25.0
1864,619,25.0
1873,617,25.0
1882,617,25.0
1891,615,25.0
1900,615,25.0
1908,620,25.0
1917,620,25.0
1926,620,25.0
1935,615,25.0
1944,617,25.0
1953,619,25.0
1961,615,25.0
1970,617,25.0
1979,620,25.0
1988,615,25.0
1997,615,25.0
2006,615,25.0
2014,615,25.0
2023,615,25.0
2032,615,25.0
2041,615,25.0
2050,615,25.0
2059,615,25.0
2067,615,25.0
2076,615,25.0
2085,615,25.0
2094,615,25.0
2103,615,25.0
2112,615,25.0
2121,615,25.0
2129,615,25.0
2138,615,25.0
2147,615,25.0
2156,615,25.0
2165,615,25.0
2174,615,25.0
2182,615,25.0
2191,615,25.0
2200,615,25.0
2209,615,25.0
2218,615,25.0
2227,615,25.0
2235,615,25.0
2244,614,25.0
2253,614,25.0
2262,614,25.0
2271,615,25.0
2280,615,25.0
2288,615,25.0
2297,615,25.0
2306,614,25.0
2315,614,25.0
2324,615,25.0
2333,615,25.0
2341,615,25.0
2350,615,25.0
2359,615,25.0
2368,614,25.0
2377,615,25.0
2386,615,25.0
2394,611,25.0
2403,612,25.0
2412,614,25.0
2421,615,25.0
2430,615,25.0
2439,615,25.0
2447,611,25.0
2456,612,25.0
2465,614,25.0
2474,611,25.0
2483,614,25.0
2492,612,25.0
2501,611,25.0
2509,612,25.0
2518,611,25.0
2527,611,25.0
2536,611,25.0
2545,611,25.0
2554,611,25.0
2562,611,25.0
2571,614,25.0
2580,611,25.0
2589,611,25.0
2598,611,25.0
2607,611,25.0
2615,614,25.0
2624,611,25.0
2633,611,25.0
2642,611,25.0
2651,611,25.0
2660,611,25.0
2668,611,25.0
2677,611,25.0
2686,611,25.0
2695,611,25.0
2704,611,25.0
2713,611,25.0
2721,611,25.0
2730,611,25.0
2739,611,25.0
2748,609,25.0
2757,611,25.0
2766,611,25.0
2774,611,25.0
2783,611,25.0
2792,611,25.0
2801,611,25.0
2810,611,25.0
2819,611,25.0
2828,609,25.0
2836,609,25.0
2845,611,25.0
2854,611,25.0
2863,611,25.0
2872,611,25.0
2881,609,25.0
2889,609,25.0
2898,611,25.0
2907,609,25.0
2916,609,25.0
2925,611,25.0
2934,611,25.0
2942,611,25.0
2951,608,25.0
2960,608,25.0
2969,609,25.0
2978,609,25.0
2987,609,25.0
2995,609,25.0
3004,609,25.0
3013,609,25.0
3022,609,25.0
3031,608,25.0
3040,609,25.0
3048,609,25.0
3057,608,25.0
3066,609,25.0
3075,608,25.0
3084,609,25.0
3093,609,25.0
3101,608,25.0
3110,608,25.0
3119,608,25.0
3128,608,25.0
3137,608,25.0
3146,609,25.0
3154,608,25.0
3163,608,25.0
3172,608,25.0
3181,608,25.0
3190,608,25.0
3199,608,25.0
3208,608,25.0
3216,608,25.0
3225,608,25.0
3234,608,25.0
3243,608,25.0
3252,608,25.0
3261,608,25.0
3269,608,25.0
3278,608,25.0
3287,608,25.0
3296,608,25.0
3305,608,25.0
3314,608,25.0
3322,608,25.0
3331,608,25.0
3340,608,25.0
3349,608,25.0
3358,608,25.0
3367,608,25.0
3375,608,25.0
3384,608,25.0
3393,608,25.0
3402,608,25.0
3411,608,25.0
3420,608,25.0
3428,608,25.0
3437,608,25.0
3446,608,25.0
3455,608,25.0
3464,608,25.0
3473,608,25.0
3481,608,25.0
3490,608,25.0
3499,608,25.0
3508,608,25.0
3517,608,25.0
3526,608,25.0
3535,608,25.0
3543,608,25.0
3552,608,25.0
3561,608,25.0
3570,608,25.0
3579,608,25.0
3588,608,25.0
3596,608,25.0
3605,608,25.0
3614,608,25.0
3623,608,25.0
3632,608,25.0
3641,608,25.0
3649,608,25.0
3658,608,25.0
3667,608,25.0
3676,608,25.0
3685,608,25.0
3694,608,25.0
3702,608,25.0
3711,608,25.0
3720,608,25.0
3729,608,25.0
3738,608,25.0
3747,608,25.0
3755,608,25.0
3764,608,25.0
3773,608,25.0
3782,608,25.0
3791,608,25.0
3800,608,25.0
3808,608,25.0
3817,608,25.0
3826,608,25.0
3835,608,25.0
3844,608,25.0
3853,608,25.0
3861,608,25.0
3870,608,25.0
3879,608,25.0
3888,608,25.0
3897,608,25.0
3906,608,25.0
3915,606,25.0
3923,608,25.0
3932,608,25.0
3941,608,25.0
3950,608,25.0
3959,608,25.0
3968,608,25.0
3976,608,25.0
3985,606,25.0
3994,608,25.0
4003,606,25.0
4012,608,25.0
4021,606,25.0
4029,606,25.0
4038,606,25.0
4047,608,25.0
4056,608,25.0
4065,606,25.0
4074,606,25.0
4082,606,25.0
4091,606,25.0
4100,608,25.0
4109,608,25.0
4118,608,25.0
4127,606,25.0
4135,608,25.0
4144,608,25.0
4153,606,25.0
4162,606,25.0
4171,606,25.0
4180,606,25.0
4188,606,25.0
4197,606,25.0
4206,606,25.0
4215,606,25.0
4224,604,25.0
4233,606,25.0
4242,606,25.0
4250,606,25.0
4259,606,25.0
4268,606,25.0
4277,606,25.0
4286,606,25.0
4295,606,25.0
4303,606,25.0
4312,604,25.0
4321,606,25.0
4330,604,25.0
4339,606,25.0
4348,606,25.0
4356,606,25.0
4365,604,25.0
4374,606,25.0
4383,606,25.0
4392,606,25.0
4401,604,25.0
4409,606,25.0
4418,606,25.0
4427,604,25.0
4436,604,25.0
4445,604,25.0
4454,606,25.0
4462,606,25.0
4471,604,25.0
4480,604,25.0
4489,606,25.0
4498,604,25.0
4507,604,25.0
4515,604,25.0
4524,604,25.0
4533,606,25.0
4542,606,25.0
4551,604,25.0
4560,604,25.0
4568,604,25.0
4577,606,25.0
4586,604,25.0
4595,606,25.0
4604,604,25.0
4613,604,25.0
4622,604,25.0
4630,604,25.0
4639,604,25.0
4648,606,25.0
4657,604,25.0
4666,604,25.0
4675,604,25.0
4683,604,25.0
4692,604,25.0
4701,604,25.0
4710,604,25.0
4719,604,25.0
4728,604,25.0
4736,604,25.0
4745,604,25.0
4754,604,25.0
4763,604,25.0
4772,604,25.0
4781,604,25.0
4789,604,25.0
4798,604,25.0
4807,604,25.0
4816,604,25.0
4825,604,25.0
4834,604,25.0
4842,604,25.0
4851,604,25.0
4860,604,25.0
4869,604,25.0
4878,604,25.0
4887,604,25.0
4895,604,25.0
4904,604,25.0
4913,604,25.0
4922,604,25.0
4931,604,25.0
4940,604,25.0
4949,604,25.0
4957,604,25.0
4966,604,25.0
4975,604,25.0
4984,604,25.0
4993,604,25.0
5002,604,25.0
5010,604,25.0
5019,604,25.0
5028,604,25.0
5037,604,25.0
5046,604,25.0
5055,604,25.0
5063,604,25.0
5072,604,25.0
5081,604,25.0
5090,604,25.0
5099,604,25.0
5108,604,25.0
5116,604,25.0
5125,604,25.0
5134,604,25.0
5143,604,25.0
5152,604,25.0
5161,604,25.0
5169,604,25.0
5178,604,25.0
5187,604,25.0
5196,604,25.0
5205,604,25.0
5214,604,25.0
5222,604,25.0
5231,604,25.0
5240,604,25.0
5249,604,25.0
5258,604,25.0
5267,604,25.0
5275,604,25.0
5284,604,25.0
5293,604,25.0
5302,604,25.0
5311,604,25.0
5320,604,25.0
5329,604,25.0
5337,604,25.0
5346,604,25.0
5355,604,25.0
5364,604,25.0
5373,604,25.0
5382,604,25.0
5390,604,25.0
5399,604,25.0
5408,604,25.0
5417,604,25.0
5426,604,25.0
5435,604,25.0
5443,604,25.0
5452,604,25.0
5461,604,25.0
5470,604,25.0
5479,604,25.0
5488,604,25.0
5496,604,25.0
5505,604,25.0
5514,604,25.0
5523,604,25.0
5532,604,25.0
5541,604,25.0
5549,604,25.0
5558,604,25.0
5567,604,25.0
5576,604,25.0
5585,604,25.0
5594,604,25.0
5602,604,25.0
5611,604,25.0
5620,604,25.0
5629,604,25.0
5638,604,25.0
5647,603,25.0
5656,604,25.0
5664,604,25.0
5673,601,25.0
5682,604,25.0
5691,604,25.0
5700,604,25.0
5709,601,25.0
5717,603,25.0
5726,604,25.0
5735,603,25.0
5744,601,25.0
5753,601,25.0
5762,603,25.0
5770,604,25.0
5779,604,25.0
5788,601,25.0
5797,601,25.0
5806,603,25.0
5815,601,25.0
5823,601,25.0
5832,601,25.0
5841,603,25.0
5850,604,25.0
5859,601,25.0
5868,601,25.0
5876,601,25.0
5885,601,25.0
5894,601,25.0
5903,603,25.0
5912,603,25.0
5921,601,25.0
5929,603,25.0
5938,601,25.0
5947,601,25.0
5956,601,25.0
5965,601,25.0
5974,601,25.0
5982,601,25.0
5991,601,25.0
6000,603,25.0
6009,601,25.0
6018,601,25.0
6027,601,25.0
6036,601,25.0
6044,601,25.0
6053,601,25.0
6062,601,25.0
6071,601,25.0
6080,601,25.0
6089,601,25.0
6097,601,25.0
6106,601,25.0
6115,601,25.0
6124,601,25.0
6133,601,25.0
6142,601,25.0
6150,601,25.0
6159,601,25.0
6168,601,25.0
6177,600,25.0
6186,601,25.0
6195,600,25.0
6203,601,25.0
6212,601,25.0
6221,601,25.0
6230,601,25.0
6239,601,25.0
6248,601,25.0
6256,601,25.0
6265,601,25.0
6274,601,25.0
6283,601,25.0
6292,601,25.0
6301,601,25.0
6309,601,25.0
6318,601,25.0
6327,601,25.0
6336,601,25.0
6345,601,25.0
6354,601,25.0
6363,601,25.0
6371,601,25.0
6380,601,25.0
6389,601,25.0
6398,601,25.0
6407,601,25.0
6416,601,25.0
6424,601,25.0
6433,601,25.0
6442,601,25.0
6451,601,25.0
6460,601,25.0
6469,601,25.0
6477,601,25.0
6486,601,25.0
6495,601,25.0
6504,601,25.0
6513,601,25.0
6522,601,25.0
6530,601,25.0
6539,601,25.0
6548,601,25.0
6557,600,25.0
6566,601,25.0
6575,600,25.0
6583,600,25.0
6592,601,25.0
6601,600,25.0
6610,600,25.0
6619,600,25.0
6628,600,25.0
6636,600,25.0
6645,601,25.0
6654,600,25.0
6663,601,25.0
6672,600,25.0
6681,600,25.0
6689,600,25.0
6698,600,25.0
6707,601,25.0
6716,600,25.0
6725,600,25.0
6734,601,25.0
6743,600,25.0
6751,600,25.0
6760,600,25.0
6769,600,25.0
6778,600,25.0
6787,600,25.0
6796,600,25.0
6804,600,25.0
6813,600,25.0
6822,601,25.0
6831,600,25.0
6840,600,25.0
6849,600,25.0
6857,600,25.0
6866,600,25.0
6875,600,25.0
6884,600,25.0
6893,600,25.0
6902,600,25.0
6910,600,25.0
6919,600,25.0
6928,600,25.0
6937,600,25.0
6946,600,25.0
6955,601,25.0
6963,600,25.0
6972,600,25.0
6981,600,25.0
6990,600,25.0
6999,600,25.0
7008,600,25.0
7016,600,25.0
7025,600,25.0
7034,600,25.0
7043,600,25.0
7052,600,25.0
7061,600,25.0
7070,600,25.0
7078,600,25.0
7087,600,25.0
7096,600,25.0
7105,600,25.0
7114,600,25.0
7123,600,25.0
7131,600,25.0
7140,600,25.0
7149,600,25.0
7158,600,25.0
7167,600,25.0
7176,600,25.0
7184,600,25.0
7193,600,25.0
7202,600,25.0
7211,600,25.0
7220,600,25.0
7229,600,25.0
7237,600,25.0
7246,600,25.0
7255,600,25.0
7264,600,25.0
7273,600,25.0
7282,600,25.0
7290,600,25.0
7299,600,25.0
7308,600,25.0
7317,600,25.0
7326,600,25.0
7335,600,25.0
7343,600,25.0
7352,600,25.0
7361,600,25.0
7370,600,25.0
7379,600,25.0
7388,600,25.0
7396,600,25.0
7405,600,25.0
7414,600,25.0
7423,600,25.0
7432,600,25.0
7441,600,25.0
7450,600,25.0
7458,600,25.0
7467,600,25.0
7476,600,25.0
7485,600,25.0
7494,600,25.0
7503,600,25.0
7511,600,25.0
7520,600,25.0
7529,600,25.0
7538,600,25.0
7547,600,25.0
7556,600,25.0
7564,600,25.0
7573,600,25.0
7582,600,25.0
7591,600,25.0
7600,600,25.0
7609,600,25.0
7617,600,25.0
7626,600,25.0
7635,600,25.0
7644,600,25.0
7653,600,25.0
7662,600,25.0
7670,600,25.0
7679,600,25.0
7688,600,25.0
7697,600,25.0
7706,600,25.0
7715,600,25.0
7723,600,25.0
7732,600,25.0
7741,600,25.0
7750,600,25.0
7759,600,25.0
7768,600,25.0
7777,608,25.0
7785,620,25.0
7794,622,25.0
7803,632,25.0
7812,638,25.0
7821,652,25.0
7830,668,25.0
7838,679,25.0
7847,679,25.0
7856,671,25.0
7865,665,25.0
7874,659,25.0
7883,655,25.0
7891,652,25.0
7900,651,25.0
7909,652,25.0
7918,649,25.0
7927,652,25.0
7936,649,25.0
7944,649,25.0
7953,647,25.0
7962,639,25.0
7971,639,25.0
7980,639,25.0
7989,646,25.0
7997,646,25.0
8006,639,25.0
8015,639,25.0
8024,639,25.0
8033,638,25.0
8042,638,25.0
8050,639,25.0
8059,636,25.0
8068,636,25.0
8077,636,25.0
8086,636,25.0
8095,633,25.0
8103,636,25.0
8112,632,25.0
8121,632,25.0
8130,632,25.0
8139,632,25.0
8148,632,25.0
8157,632,25.0
8165,632,25.0
8174,632,25.0
8183,632,25.0
8192,632,25.0
8201,632,25.0
8210,630,25.0
8218,625,25.0
8227,624,25.0
8236,624,25.0
8245,624,25.0
8254,625,25.0
8263,625,25.0
8271,624,25.0
8280,624,25.0
8289,624,25.0
8298,624,25.0
8307,624,25.0
8316,624,25.0
8324,624,25.0
8333,622,25.0
8342,623,25.0
8351,623,25.0
8360,624,25.0
8369,624,25.0
8377,622,25.0
8386,622,25.0
8395,622,25.0
8404,622,25.0
8413,624,25.0
8422,622,25.0
8430,620,25.0
8439,619,25.0
8448,620,25.0
8457,617,25.0
8466,620,25.0
8475,620,25.0
8484,620,25.0
8492,617,25.0
8501,620,25.0
8510,620,25.0
8519,620,25.0
8528,617,25.0
8537,615,25.0
8545,615,25.0
8554,617,25.0
8563,615,25.0
8572,615,25.0
8581,615,25.0
8590,615,25.0
8598,615,25.0
8607,615,25.0
8616,617,25.0
8625,617,25.0
8634,615,25.0
8643,615,25.0
8651,617,25.0
8660,615,25.0
8669,615,25.0
8678,615,25.0
8687,615,25.0
8696,615,25.0
8704,617,25.0
8713,615,25.0
8722,615,25.0
8731,617,25.0
8740,615,25.0
8749,615,25.0
8757,615,25.0
8766,615,25.0
8775,615,25.0
8784,615,25.0
8793,615,25.0
8802,615,25.0
8810,615,25.0
8819,615,25.0
8828,615,25.0
8837,615,25.0
8846,615,25.0
8855,615,25.0
8864,614,25.0
8872,614,25.0
8881,615,25.0
8890,615,25.0
8899,615,25.0
8908,614,25.0
8917,615,25.0
8925,615,25.0
8934,615,25.0
